formula,n_atoms,multiplicity,trace_len,p,exact,soft_raw,soft_norm,gap_raw,gap_norm
atleast2of4,4,3,1,0.7,0.9163000000000001,0.9824036955833435,0.9824036955833435,0.06610369558334339,0.06610369558334339
atleast2of4,4,3,1,0.75,0.94921875,0.9929875731468201,0.9929875731468201,0.04376882314682007,0.04376882314682007
atleast2of4,4,3,1,0.8,0.9728000000000001,0.9978232383728027,0.9978232383728027,0.025023238372802625,0.025023238372802625
atleast2of4,4,3,1,0.85,0.98801875,0.9995433688163757,0.9995433688163757,0.011524618816375787,0.011524618816375787
atleast2of4,4,3,1,0.9,0.9963000000000001,0.9999529719352722,0.9999529719352722,0.0036529719352721424,0.0036529719352721424
atleast2of4,4,3,1,0.95,0.99951875,0.9999991655349731,0.9999991655349731,0.00048041553497313316,0.00048041553497313316
atleast2of5,5,4,1,0.05,0.022592500000000005,0.02472054958343506,0.02472054958343506,0.0021280495834350537,0.0021280495834350537
atleast2of5,5,4,1,0.1,0.08146000000000006,0.09561783075332642,0.09561783075332642,0.014157830753326356,0.014157830753326356
atleast2of5,5,4,1,0.15,0.16479000000000002,0.20353305339813232,0.20353305339813232,0.038743053398132304,0.038743053398132304
atleast2of5,5,4,1,0.2,0.2627200000000001,0.3351675271987915,0.3351675271987915,0.07244752719879138,0.07244752719879138
atleast2of5,5,4,1,0.25,0.3671875,0.47553950548171997,0.47553950548171997,0.10835200548171997,0.10835200548171997
atleast2of5,5,4,1,0.3,0.4717800000000001,0.610584020614624,0.610584020614624,0.13880402061462394,0.13880402061462394
atleast2of5,5,4,1,0.35,0.571585,0.7293106317520142,0.7293106317520142,0.15772563175201415,0.15772563175201415
atleast2of5,5,4,1,0.4,0.6630400000000001,0.8250988721847534,0.8250986754658995,0.16205887218475334,0.16205867546589947
atleast2of5,5,4,1,0.45,0.7437825000000003,0.8959344625473022,0.8959344625473022,0.1521519625473019,0.1521519625473019
atleast2of5,5,4,1,0.5,0.8125,0.9436864852905273,0.9436864852905273,0.13118648529052734,0.13118648529052734
atleast2of5,5,4,1,0.55,0.8687799999999999,0.9727452397346497,0.9727452397346497,0.10396523973464977,0.10396523973464977
atleast2of5,5,4,1,0.6,0.91296,0.9884707927703857,0.9884707927703857,0.07551079277038575,0.07551079277038575
atleast2of5,5,4,1,0.65,0.9459774999999999,0.9958741068840027,0.9958741068840027,0.04989660688400277,0.04989660688400277
atleast2of5,5,4,1,0.7,0.96922,0.9988095760345459,0.9988095760345459,0.029589576034545928,0.029589576034545928
atleast2of5,5,4,1,0.75,0.984375,0.9997431039810181,0.9997431039810181,0.015368103981018066,0.015368103981018066
atleast2of5,5,4,1,0.8,0.9932799999999999,0.9999634623527527,0.9999634623527527,0.006683462352752745,0.006683462352752745
atleast2of5,5,4,1,0.85,0.9977725,0.9999973177909851,0.9999973177909851,0.0022248177909851563,0.0022248177909851563
atleast2of5,5,4,1,0.9,0.9995400000000002,0.9999999403953552,0.9999999403953552,0.0004599403953550185,0.0004599403953550185
atleast2of5,5,4,1,0.95,0.99997,1.0,1.0,2.999999999997449e-05,2.999999999997449e-05
atleast3of5,5,6,1,0.05,0.0011581250000000005,0.0012491941452026367,0.00124763560610814,9.10691452026362e-05,8.951060610813948e-05
atleast3of5,5,6,1,0.1,0.00856,0.009954988956451416,0.009856885508170467,0.0013949889564514161,0.0012968855081704669
atleast3of5,5,6,1,0.15,0.02661187499999999,0.03324192762374878,0.03217473065178944,0.00663005262374879,0.005562855651789451
atleast3of5,5,6,1,0.2,0.05792000000000003,0.07718068361282349,0.07170161718840501,0.01926068361282346,0.013781617188404982
atleast3of5,5,6,1,0.25,0.103515625,0.14570915699005127,0.12764280145256046,0.04219353199005127,0.02412717645256046
atleast3of5,5,6,1,0.3,0.16307999999999997,0.23944896459579468,0.1955540980235795,0.0763689645957947,0.032474098023579534
atleast3of5,5,6,1,0.35,0.23516937499999996,0.354811429977417,0.26992498461230957,0.11964205497741703,0.03475560961230961
atleast3of5,5,6,1,0.4,0.31744000000000006,0.48387080430984497,0.3465779863600855,0.16643080430984492,0.029137986360085466
atleast3of5,5,6,1,0.45,0.406873125,0.6153714656829834,0.4234305146629993,0.2084983406829834,0.0165573896629993
atleast3of5,5,6,1,0.5,0.5,0.736924409866333,0.5,0.236924409866333,0.0
atleast3of5,5,6,1,0.55,0.593126875,0.8379283547401428,0.5765695263503183,0.24480147974014277,-0.016557348649681725
atleast3of5,5,6,1,0.6,0.6825599999999998,0.9122675061225891,0.6534220136399145,0.22970750612258928,-0.029137986360085355
atleast3of5,5,6,1,0.65,0.764830625,0.9596701860427856,0.7300750153876905,0.19483956104278566,-0.0347556096123095
atleast3of5,5,6,1,0.7,0.8369199999999999,0.9850150942802429,0.8044459019764205,0.14809509428024303,-0.03247409802357937
atleast3of5,5,6,1,0.75,0.896484375,0.9958292245864868,0.8723571985474395,0.09934484958648682,-0.02412717645256046
atleast3of5,5,6,1,0.8,0.94208,0.9992340803146362,0.9282983274382914,0.0571540803146362,-0.013781672561708591
atleast3of5,5,6,1,0.85,0.9733881249999999,0.9999268054962158,0.96782521165711,0.026538680496215883,-0.005562913342889941
atleast3of5,5,6,1,0.9,0.9914400000000001,0.9999978542327881,0.9901431735090883,0.008557854232787987,-0.0012968264909117844
atleast3of5,5,6,1,0.95,0.9988418750000001,1.0,0.9987523643938918,0.0011581249999998988,-8.951060610828954e-05
alt_response,2,2,4,0.05,0.8269712000000005,0.8269513249397278,0.8274582395426047,-1.987506027267827e-05,0.00048703954260420623
alt_response,2,2,4,0.1,0.6973866000000007,0.6971362829208374,0.6999261475362893,-0.00025031707916334245,0.0025395475362886
alt_response,2,2,4,0.15,0.5986621187499992,0.5976754426956177,0.604263002375392,-0.000986676054381519,0.005600883625392794
alt_response,2,2,4,0.2,0.5216768,0.5192729830741882,0.5303466763613306,-0.002403816925811819,0.008669876361330542
