schema_version,run_id,cell_id,formula_id,stratum,monitor_id,monitor_name,construction,encoding,online_label_mode,requested_device,effective_device,trace_seed,repetition,trace_length,batch_size,early_termination,warmup_iterations,inner_iterations,status,duration_s_per_batch,duration_s_per_trace,duration_s_per_cell,throughput_traces_s,failure_reason,warnings_json
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_bounded_flat_exact::cpu::r3::b64,nested_next_control,all_applicable,rulerunner_bounded_flat_exact,BoundedEventRuleRunnerMonitor,bounded_exact_online,flat,exact_online,cpu,cpu,4409,3,32,64,False,2,2,success,0.03149167750052584,0.0004920574609457162,1.5376795654553632e-05,2032.2829737771622,,[]
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_bounded_flat_exact::cpu::r4::b1,nested_next_control,all_applicable,rulerunner_bounded_flat_exact,BoundedEventRuleRunnerMonitor,bounded_exact_online,flat,exact_online,cpu,cpu,5501,4,32,1,False,2,20,success,0.004803204400013783,0.004803204400013783,0.0001501001375004307,208.19434625708007,,[]
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_bounded_flat_exact::cpu::r4::b64,nested_next_control,all_applicable,rulerunner_bounded_flat_exact,BoundedEventRuleRunnerMonitor,bounded_exact_online,flat,exact_online,cpu,cpu,5501,4,32,64,False,2,2,success,0.031213301999741816,0.0004877078437459659,1.5240870117061434e-05,2050.40786779077,,[]
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_bounded_structured_default::cpu::r0::b1,nested_next_control,all_applicable,rulerunner_bounded_structured_default,BoundedEventStructuredRuleRunnerMonitor,bounded_default,structured,sound_default,cpu,cpu,1103,0,32,1,False,2,9,success,0.005707553666676783,0.005707553666676783,0.00017836105208364947,175.2064121338782,,[]
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_bounded_structured_default::cpu::r0::b64,nested_next_control,all_applicable,rulerunner_bounded_structured_default,BoundedEventStructuredRuleRunnerMonitor,bounded_default,structured,sound_default,cpu,cpu,1103,0,32,64,False,2,2,success,0.03549307600042084,0.0005545793125065757,1.733060351583049e-05,1803.1685954534105,,[]
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_bounded_structured_default::cpu::r1::b1,nested_next_control,all_applicable,rulerunner_bounded_structured_default,BoundedEventStructuredRuleRunnerMonitor,bounded_default,structured,sound_default,cpu,cpu,2207,1,32,1,False,2,20,success,0.005017507000047772,0.005017507000047772,0.00015679709375149287,199.302163403156,,[]
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_bounded_structured_default::cpu::r1::b64,nested_next_control,all_applicable,rulerunner_bounded_structured_default,BoundedEventStructuredRuleRunnerMonitor,bounded_default,structured,sound_default,cpu,cpu,2207,1,32,64,False,2,2,success,0.032366768498832243,0.0005057307577942538,1.580408618107043e-05,1977.3367243105856,,[]
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_bounded_structured_default::cpu::r2::b1,nested_next_control,all_applicable,rulerunner_bounded_structured_default,BoundedEventStructuredRuleRunnerMonitor,bounded_default,structured,sound_default,cpu,cpu,3301,2,32,1,False,2,20,success,0.0049653096999463745,0.0049653096999463745,0.0001551659281233242,201.39730659918354,,[]
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_bounded_structured_default::cpu::r2::b64,nested_next_control,all_applicable,rulerunner_bounded_structured_default,BoundedEventStructuredRuleRunnerMonitor,bounded_default,structured,sound_default,cpu,cpu,3301,2,32,64,False,2,2,success,0.032721678999223514,0.0005112762343628674,1.5977382323839606e-05,1955.8898552094079,,[]
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_bounded_structured_default::cpu::r3::b1,nested_next_control,all_applicable,rulerunner_bounded_structured_default,BoundedEventStructuredRuleRunnerMonitor,bounded_default,structured,sound_default,cpu,cpu,4409,3,32,1,False,2,16,success,0.005078421312646242,0.005078421312646242,0.00015870066602019506,196.91158697483576,,[]
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_bounded_structured_default::cpu::r3::b64,nested_next_control,all_applicable,rulerunner_bounded_structured_default,BoundedEventStructuredRuleRunnerMonitor,bounded_default,structured,sound_default,cpu,cpu,4409,3,32,64,False,2,2,success,0.03166983250048361,0.0004948411328200564,1.546378540062676e-05,2020.8505996683973,,[]
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_bounded_structured_default::cpu::r4::b1,nested_next_control,all_applicable,rulerunner_bounded_structured_default,BoundedEventStructuredRuleRunnerMonitor,bounded_default,structured,sound_default,cpu,cpu,5501,4,32,1,False,2,20,success,0.00525549095000315,0.00525549095000315,0.00016423409218759843,190.27718047909505,,[]
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_bounded_structured_default::cpu::r4::b64,nested_next_control,all_applicable,rulerunner_bounded_structured_default,BoundedEventStructuredRuleRunnerMonitor,bounded_default,structured,sound_default,cpu,cpu,5501,4,32,64,False,2,2,success,0.03289414749997377,0.0005139710546870901,1.6061595458971567e-05,1945.6348579956673,,[]
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_bounded_structured_exact::cpu::r0::b1,nested_next_control,all_applicable,rulerunner_bounded_structured_exact,BoundedEventStructuredRuleRunnerMonitor,bounded_exact_online,structured,exact_online,cpu,cpu,1103,0,32,1,False,2,18,success,0.0051008688889042884,0.0051008688889042884,0.00015940215277825901,196.04503110739802,,[]
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_bounded_structured_exact::cpu::r0::b64,nested_next_control,all_applicable,rulerunner_bounded_structured_exact,BoundedEventStructuredRuleRunnerMonitor,bounded_exact_online,structured,exact_online,cpu,cpu,1103,0,32,64,False,2,2,success,0.03424774599989178,0.000535121031248309,1.6722532226509657e-05,1868.736120625347,,[]
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_bounded_structured_exact::cpu::r1::b1,nested_next_control,all_applicable,rulerunner_bounded_structured_exact,BoundedEventStructuredRuleRunnerMonitor,bounded_exact_online,structured,exact_online,cpu,cpu,2207,1,32,1,False,2,16,success,0.004832364000094458,0.004832364000094458,0.0001510113750029518,206.93805350351363,,[]
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_bounded_structured_exact::cpu::r1::b64,nested_next_control,all_applicable,rulerunner_bounded_structured_exact,BoundedEventStructuredRuleRunnerMonitor,bounded_exact_online,structured,exact_online,cpu,cpu,2207,1,32,64,False,2,2,success,0.03190784199978225,0.0004985600312465976,1.5580000976456176e-05,2005.7765110043092,,[]
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_bounded_structured_exact::cpu::r2::b1,nested_next_control,all_applicable,rulerunner_bounded_structured_exact,BoundedEventStructuredRuleRunnerMonitor,bounded_exact_online,structured,exact_online,cpu,cpu,3301,2,32,1,False,2,10,success,0.005325911800173344,0.005325911800173344,0.000166434743755417,187.76127685168439,,[]
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_bounded_structured_exact::cpu::r2::b64,nested_next_control,all_applicable,rulerunner_bounded_structured_exact,BoundedEventStructuredRuleRunnerMonitor,bounded_exact_online,structured,exact_online,cpu,cpu,3301,2,32,64,False,2,2,success,0.03160978049891128,0.0004939028202954887,1.5434463134234022e-05,2024.6897950526522,,[]
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_bounded_structured_exact::cpu::r3::b1,nested_next_control,all_applicable,rulerunner_bounded_structured_exact,BoundedEventStructuredRuleRunnerMonitor,bounded_exact_online,structured,exact_online,cpu,cpu,4409,3,32,1,False,2,18,success,0.00505154605566026,0.00505154605566026,0.00015786081423938312,197.9591968442017,,[]
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_bounded_structured_exact::cpu::r3::b64,nested_next_control,all_applicable,rulerunner_bounded_structured_exact,BoundedEventStructuredRuleRunnerMonitor,bounded_exact_online,structured,exact_online,cpu,cpu,4409,3,32,64,False,2,2,success,0.032671254501110525,0.000510488351579852,1.5952760986870373e-05,1958.908556689324,,[]
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_bounded_structured_exact::cpu::r4::b1,nested_next_control,all_applicable,rulerunner_bounded_structured_exact,BoundedEventStructuredRuleRunnerMonitor,bounded_exact_online,structured,exact_online,cpu,cpu,5501,4,32,1,False,2,20,success,0.0050256488999366414,0.0050256488999366414,0.00015705152812302005,198.9792800711978,,[]
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_bounded_structured_exact::cpu::r4::b64,nested_next_control,all_applicable,rulerunner_bounded_structured_exact,BoundedEventStructuredRuleRunnerMonitor,bounded_exact_online,structured,exact_online,cpu,cpu,5501,4,32,64,False,2,2,success,0.03236142950117937,0.0005056473359559277,1.580147924862274e-05,1977.6629458741183,,[]
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_progression_flat::cpu::r0::b1,nested_next_control,all_applicable,rulerunner_progression_flat,ProgressionRuleRunnerMonitor,progression,flat,exact,cpu,cpu,1103,0,32,1,False,2,38,success,0.0025249930790060284,0.0025249930790060284,7.890603371893839e-05,396.04068950305924,,[]
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_progression_flat::cpu::r0::b64,nested_next_control,all_applicable,rulerunner_progression_flat,ProgressionRuleRunnerMonitor,progression,flat,exact,cpu,cpu,1103,0,32,64,False,2,14,success,0.0036880648570201758,5.7626013390940246e-05,1.8008129184668827e-06,17353.274001723956,,[]
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_progression_flat::cpu::r1::b1,nested_next_control,all_applicable,rulerunner_progression_flat,ProgressionRuleRunnerMonitor,progression,flat,exact,cpu,cpu,2207,1,32,1,False,2,34,success,0.002623757029462414,0.002623757029462414,8.199240717070043e-05,381.1328521547179,,[]
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_progression_flat::cpu::r1::b64,nested_next_control,all_applicable,rulerunner_progression_flat,ProgressionRuleRunnerMonitor,progression,flat,exact,cpu,cpu,2207,1,32,64,False,2,14,success,0.003596586857124099,5.6196669642564044e-05,1.7561459263301264e-06,17794.648799661034,,[]
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_progression_flat::cpu::r2::b1,nested_next_control,all_applicable,rulerunner_progression_flat,ProgressionRuleRunnerMonitor,progression,flat,exact,cpu,cpu,3301,2,32,1,False,2,20,success,0.002733679149969248,0.002733679149969248,8.5427473436539e-05,365.8073772158848,,[]
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_progression_flat::cpu::r2::b64,nested_next_control,all_applicable,rulerunner_progression_flat,ProgressionRuleRunnerMonitor,progression,flat,exact,cpu,cpu,3301,2,32,64,False,2,28,success,0.0034923860356294817,5.456853180671065e-05,1.7052666189597078e-06,18325.580089677682,,[]
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_progression_flat::cpu::r3::b1,nested_next_control,all_applicable,rulerunner_progression_flat,ProgressionRuleRunnerMonitor,progression,flat,exact,cpu,cpu,4409,3,32,1,False,2,21,success,0.002456546666681312,0.002456546666681312,7.6767083333791e-05,407.0755152194835,,[]
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_progression_flat::cpu::r3::b64,nested_next_control,all_applicable,rulerunner_progression_flat,ProgressionRuleRunnerMonitor,progression,flat,exact,cpu,cpu,4409,3,32,64,False,2,28,success,0.0034597783214849187,5.4059036273201855e-05,1.689344883537558e-06,18498.29499264899,,[]
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_progression_flat::cpu::r4::b1,nested_next_control,all_applicable,rulerunner_progression_flat,ProgressionRuleRunnerMonitor,progression,flat,exact,cpu,cpu,5501,4,32,1,False,2,38,success,0.002445841026297115,0.002445841026297115,7.643253207178484e-05,408.85731707344513,,[]
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_progression_flat::cpu::r4::b64,nested_next_control,all_applicable,rulerunner_progression_flat,ProgressionRuleRunnerMonitor,progression,flat,exact,cpu,cpu,5501,4,32,64,False,2,28,success,0.003434003571523395,5.365630580505305e-05,1.6767595564079078e-06,18637.13844991963,,[]
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_progression_structured::cpu::r0::b1,nested_next_control,all_applicable,rulerunner_progression_structured,ProgressionRuleRunnerStructuredMonitor,progression,structured,exact,cpu,cpu,1103,0,32,1,False,2,6,success,0.013121440499768747,0.013121440499768747,0.00041004501561777335,76.21114465424921,,[]
