schema_version,formula_id,monitor_id,architecture,construction,backend,workload_mode,timing_boundary,requested_device,effective_device,trace_profile,trace_length,batch_size,repetitions,timing_sample_count,latency_s_per_trace_median,latency_s_per_trace_ci95_low,latency_s_per_trace_ci95_high,latency_s_per_batch_p95,throughput_traces_s_median,throughput_traces_s_ci95_low,throughput_traces_s_ci95_high,compile_s_median,compile_s_ci95_low,compile_s_ci95_high,processed_cell_fraction_median,persistent_host_rss_delta_bytes_median,peak_runtime_host_rss_bytes_median,fallbacks
rq4.v1,atomic_control,rulerunner_progression_flat,rulerunner,progression,flat_cilp,capacity,core_native,cpu,cpu,uniform_bernoulli_p0.5,64,32,5,35,0.00016485116874491722,0.00015903959374554688,0.00017041017500787347,0.005615567159911733,6066.077708841433,5868.194196466244,6287.742419663972,0.05360209300124552,0.05279817799964803,0.05852384700119728,1.0,4890624.0,455008256.0,0
rq4.v1,atomic_control,rulerunner_progression_flat,rulerunner,progression,flat_cilp,capacity,core_native,cpu,cpu,uniform_bernoulli_p0.5,64,128,5,35,6.316686197749277e-05,6.115245442591306e-05,6.505261458282045e-05,0.008698189666271597,15831.0856150542,15372.172301035951,16352.573406706219,0.05360209300124552,0.05279817799964803,0.05852384700119728,1.0,4890624.0,455008256.0,0
rq4.v1,atomic_control,rulerunner_progression_flat,rulerunner,progression,flat_cilp,capacity,end_to_end,cpu,cpu,uniform_bernoulli_p0.5,64,1,5,35,0.004316499749923726,0.004273188000037668,0.004422455583153351,0.004582451875103288,231.66918983782412,226.1187209679036,234.0173191516931,0.054378842000005534,0.05371691199979978,0.061206146001495654,1.0,4886528.0,456744960.0,0
rq4.v1,atomic_control,rulerunner_progression_flat,rulerunner,progression,flat_cilp,capacity,end_to_end,cpu,cpu,uniform_bernoulli_p0.5,64,32,5,35,0.0002061620742068726,0.00020236282030339225,0.0002158806054666229,0.007262516237551608,4850.552672440391,4632.190084137081,4941.61920900663,0.054378842000005534,0.05371691199979978,0.061206146001495654,1.0,4886528.0,456744960.0,0
rq4.v1,atomic_control,rulerunner_progression_flat,rulerunner,progression,flat_cilp,capacity,end_to_end,cpu,cpu,uniform_bernoulli_p0.5,64,128,5,35,0.00010222656445080247,0.00010107739062448218,0.00010435768554373226,0.013697542074987723,9782.193164490622,9582.42792363327,9893.409335378983,0.054378842000005534,0.05371691199979978,0.061206146001495654,1.0,4886528.0,456744960.0,0
rq4.v1,atomic_control,rulerunner_progression_flat,rulerunner,progression,flat_cilp,deployment,end_to_end,cpu,cpu,early_late_boundary,64,1,5,35,0.0044911772498987075,0.004340020833296876,0.004625330199996824,0.005071276710041274,222.65876948467212,216.20078064927918,230.4136404894524,0.05495287500161794,0.05284178600049927,0.05701162999685039,1.0,4890624.0,454270976.0,0
rq4.v1,atomic_control,rulerunner_progression_flat,rulerunner,progression,flat_cilp,deployment,end_to_end,cpu,cpu,early_late_boundary,64,64,5,35,0.000137464992188067,0.000133049429687541,0.00014146737761204045,0.009210934950048492,7274.579397144924,7068.7674916997175,7516.003656298588,0.05495287500161794,0.05284178600049927,0.05701162999685039,1.0,4890624.0,454270976.0,0
rq4.v1,atomic_control,symbolic_guarded,symbolic_dfa,canonical_dfa,guarded_edges,capacity,core_native,cpu,cpu,uniform_bernoulli_p0.5,64,1,5,35,5.575436464483812e-05,5.299045951393158e-05,5.809979464288517e-05,5.918282010294902e-05,17935.815543233573,17211.764794464016,18871.321539249773,0.06557592299941462,0.06349260699789738,0.06691736700304318,1.0,0.0,442961920.0,0
rq4.v1,atomic_control,symbolic_guarded,symbolic_dfa,canonical_dfa,guarded_edges,capacity,core_native,cpu,cpu,uniform_bernoulli_p0.5,64,32,5,35,5.724556445585449e-05,5.628191359739824e-05,5.958425735490677e-05,0.00194260587937392,17468.602318895122,16782.956512214547,17767.697224250514,0.06557592299941462,0.06349260699789738,0.06691736700304318,1.0,0.0,442961920.0,0
rq4.v1,atomic_control,symbolic_guarded,symbolic_dfa,canonical_dfa,guarded_edges,capacity,core_native,cpu,cpu,uniform_bernoulli_p0.5,64,128,5,35,5.536197070199478e-05,5.4428126951222566e-05,5.584441210970681e-05,0.007276839662426937,18062.9408115338,17906.894570498687,18372.853449397233,0.06557592299941462,0.06349260699789738,0.06691736700304318,1.0,0.0,442961920.0,0
