schema_version,formula_id,workload_mode,timing_boundary,requested_device,effective_device,trace_length,batch_size,monitor_id,latency_s_per_trace_median,compile_s_median,persistent_host_rss_delta_bytes_median,pareto_optimal,dominated_by_json
rq4.v1,ijcnn_balanced_n4,capacity,core_native,cpu,cpu,64,1,rulerunner_progression_flat,0.004292222428505609,0.054926564000197686,4825088.0,True,[]
rq4.v1,ijcnn_balanced_n4,capacity,core_native,cpu,cpu,64,1,symbolic_guarded,6.1027438597081705e-05,0.1096028789979755,909312.0,True,[]
rq4.v1,ijcnn_balanced_n4,capacity,core_native,cpu,cpu,64,32,deepdfa_dense,0.00011013303125650964,0.11179481799990754,5083136.0,False,"[""symbolic_guarded""]"
rq4.v1,ijcnn_balanced_n4,capacity,core_native,cpu,cpu,64,32,deepdfa_factored,0.00014486391926501105,0.11962404800215154,5971968.0,False,"[""deepdfa_dense"", ""symbolic_guarded""]"
rq4.v1,ijcnn_balanced_n4,capacity,core_native,cpu,cpu,64,32,rulerunner_bounded_flat_default,0.001456298281141244,0.12671061000219197,7159808.0,False,"[""deepdfa_dense"", ""deepdfa_factored"", ""rulerunner_original_flat"", ""rulerunner_progression_flat"", ""symbolic_guarded""]"
rq4.v1,ijcnn_balanced_n4,capacity,core_native,cpu,cpu,64,32,rulerunner_bounded_flat_exact,0.0015582334686996546,0.1647795610006142,7430144.0,False,"[""deepdfa_dense"", ""deepdfa_factored"", ""rulerunner_bounded_flat_default"", ""rulerunner_original_flat"", ""rulerunner_progression_flat"", ""symbolic_guarded""]"
rq4.v1,ijcnn_balanced_n4,capacity,core_native,cpu,cpu,64,32,rulerunner_original_flat,0.0006792629062601918,0.057222101000661496,6438912.0,False,"[""rulerunner_progression_flat""]"
rq4.v1,ijcnn_balanced_n4,capacity,core_native,cpu,cpu,64,32,rulerunner_progression_flat,0.00018999208748482488,0.054926564000197686,4825088.0,True,[]
rq4.v1,ijcnn_balanced_n4,capacity,core_native,cpu,cpu,64,32,symbolic_guarded,6.117727120421737e-05,0.1096028789979755,909312.0,True,[]
rq4.v1,ijcnn_balanced_n4,capacity,core_native,cpu,cpu,64,128,deepdfa_dense,7.995207812427907e-05,0.11179481799990754,5083136.0,False,"[""symbolic_guarded""]"
rq4.v1,ijcnn_balanced_n4,capacity,core_native,cpu,cpu,64,128,deepdfa_factored,9.32617402327196e-05,0.11962404800215154,5971968.0,False,"[""deepdfa_dense"", ""rulerunner_progression_flat"", ""symbolic_guarded""]"
rq4.v1,ijcnn_balanced_n4,capacity,core_native,cpu,cpu,64,128,rulerunner_bounded_flat_default,0.002429125226569795,0.12671061000219197,7159808.0,False,"[""deepdfa_dense"", ""deepdfa_factored"", ""rulerunner_original_flat"", ""rulerunner_progression_flat"", ""symbolic_guarded""]"
rq4.v1,ijcnn_balanced_n4,capacity,core_native,cpu,cpu,64,128,rulerunner_bounded_flat_exact,0.002437116992183519,0.1647795610006142,7430144.0,False,"[""deepdfa_dense"", ""deepdfa_factored"", ""rulerunner_bounded_flat_default"", ""rulerunner_original_flat"", ""rulerunner_progression_flat"", ""symbolic_guarded""]"
