formula,read_once,trace_length,eps,sym_acc,raw_acc,norm_acc,raw_ece,norm_ece,raw_brier,norm_brier,raw_auc,norm_auc,raw_max_score,raw_frac_over1,noise,pos_rate
majority3,False,3,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,beta,0.879
majority3,False,3,0.1,0.9994444444444445,0.9956666666666667,0.9968888888888889,0.049998780686421225,0.0534251997693209,0.012060239805447542,0.012245530406713417,0.9999404177807932,0.99994862553548,1.0787373781204224,0.45399999999999996,beta,0.879
majority3,False,3,0.2,0.9967777777777779,0.9693333333333333,0.9754444444444444,0.07347406405293277,0.08431921009553801,0.028836240124679002,0.02895325396530768,0.9989715987368569,0.9991257221304171,1.1302520434061687,0.4765555555555556,beta,0.879
majority3,False,3,0.3,0.9912222222222221,0.9182222222222222,0.9305555555555555,0.07441566176795299,0.10033887770358059,0.04882521803377934,0.0468403048110349,0.9915992110827793,0.9932304263290179,1.1721993684768677,0.4971111111111111,beta,0.879
majority3,False,3,0.4,0.9785555555555555,0.8857777777777778,0.9034444444444446,0.07171822772423425,0.10536420132219793,0.06605474834147479,0.06088744929713449,0.9790465142577819,0.9838927374138642,1.1990451415379841,0.528888888888889,beta,0.879
majority3,False,3,0.5,0.9498888888888889,0.8658888888888888,0.8767777777777778,0.08504743507173325,0.0943756244563394,0.08816341316455589,0.07643635802147448,0.9352361036633338,0.9546919781661565,1.2224442958831787,0.5827777777777778,beta,0.879
majority3,False,3,0.6,0.9095555555555555,0.8594444444444443,0.8651111111111112,0.10194661015272138,0.08872129508852956,0.10531482301992373,0.08804179574122555,0.8764998911712526,0.9193788736042258,1.219050447146098,0.6458888888888888,beta,0.879
majority3,False,3,0.7,0.8664444444444444,0.8585555555555556,0.8602222222222222,0.11684084278345104,0.07157914301090766,0.12042831895125959,0.09857184600617425,0.7867217984588878,0.864088702116871,1.2154434521993,0.7105555555555556,beta,0.879
majority3,False,3,0.8,0.8214444444444444,0.858111111111111,0.8583333333333334,0.1265906699895859,0.034296478493346085,0.13128231666882317,0.1087846177019685,0.6730231166850884,0.7723339084841433,1.2124706109364827,0.7768888888888889,beta,0.879
majority3,False,3,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,bitflip,0.879
majority3,False,3,0.1,0.9044444444444445,0.9044444444444445,0.9044444444444445,0.09555555555555556,0.09555555555555556,0.09555555555555556,0.09555555555555556,0.8003345116021171,0.8003345116021171,1.0,0.0,bitflip,0.879
majority3,False,3,0.2,0.8447777777777778,0.8447777777777778,0.8447777777777778,0.15522222222222226,0.15522222222222226,0.15522222222222223,0.15522222222222223,0.6734946065931982,0.6734946065931982,1.0,0.0,bitflip,0.879
majority3,False,3,0.3,0.8038888888888889,0.8038888888888889,0.8038888888888889,0.19611111111111112,0.19611111111111112,0.19611111111111112,0.19611111111111112,0.5866547380631889,0.5866547380631889,1.0,0.0,bitflip,0.879
majority3,False,3,0.4,0.7833333333333333,0.7833333333333333,0.7833333333333333,0.2166666666666667,0.2166666666666667,0.21666666666666667,0.21666666666666667,0.535824113288902,0.535824113288902,1.0,0.0,bitflip,0.879
majority3,False,3,0.5,0.7616666666666667,0.7616666666666667,0.7616666666666667,0.23833333333333337,0.23833333333333337,0.23833333333333337,0.23833333333333337,0.494793547610449,0.494793547610449,1.0,0.0,bitflip,0.879
majority3,False,3,0.6,0.7517777777777779,0.7517777777777779,0.7517777777777779,0.2482222222222222,0.2482222222222222,0.24822222222222223,0.24822222222222223,0.4704210760548789,0.4704210760548789,1.0,0.0,bitflip,0.879
majority3,False,3,0.7,0.7472222222222222,0.7472222222222222,0.7472222222222222,0.2527777777777778,0.2527777777777778,0.25277777777777777,0.25277777777777777,0.4537274149950206,0.4537274149950206,1.0,0.0,bitflip,0.879
majority3,False,3,0.8,0.7403333333333334,0.7403333333333334,0.7403333333333334,0.25966666666666666,0.25966666666666666,0.25966666666666666,0.25966666666666666,0.44089778244707817,0.44089778244707817,1.0,0.0,bitflip,0.879
response,True,7,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,beta,0.648
response,True,7,0.1,0.9995555555555556,0.9991111111111112,0.9991111111111112,0.0640669485918578,0.06406694545417768,0.010799448676086579,0.010799448447744886,0.999995076258902,0.999995076258902,1.00000003973643,0.0001111111111111111,beta,0.648
response,True,7,0.2,0.9977777777777778,0.9936666666666666,0.9936666666666666,0.11599414367598689,0.11599414243674577,0.028145465911076667,0.02814546579866667,0.999774985031827,0.999774985031827,0.9999948938687643,0.0,beta,0.648
response,True,7,0.3,0.992,0.9742222222222222,0.9742222222222222,0.1546977761761389,0.1546977737316241,0.050271905776270394,0.05027190510010341,0.9982146514779101,0.9982146514779101,0.9996782143910726,0.0,beta,0.648
response,True,7,0.4,0.9732222222222222,0.9437777777777777,0.9437777777777777,0.17655355231049988,0.17655355034064915,0.07363313542718497,0.07363313526950581,0.9925068866725489,0.9925068866725489,0.9990332126617432,0.0,beta,0.648
response,True,7,0.5,0.9397777777777777,0.8972222222222221,0.8972222222222221,0.17865743401067125,0.17865743249530594,0.09991913566335915,0.09991913556917255,0.9744771315203463,0.9744771315203463,0.9956296483675638,0.0,beta,0.648
response,True,7,0.6,0.8857777777777778,0.8472222222222223,0.8472222222222223,0.1647076845409142,0.1647076824564073,0.12628102497129687,0.12628102515261572,0.9407734672065713,0.9407734672065713,0.991898775100708,0.0,beta,0.648
response,True,7,0.7,0.8116666666666666,0.7748888888888888,0.7748888888888888,0.12544216013616985,0.12544215838776693,0.15495901003825427,0.15495901082337837,0.8764632537919371,0.8764630076048823,0.9830295642217001,0.0,beta,0.648
response,True,7,0.8,0.7255555555555556,0.7243333333333334,0.7243333333333334,0.07147300980985165,0.07147300969229804,0.18197438548681996,0.1819743848834693,0.7848250463488161,0.7848250463488161,0.9706668456395467,0.0,beta,0.648
response,True,7,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,bitflip,0.648
response,True,7,0.1,0.8747777777777778,0.8747777777777778,0.8747777777777778,0.12522222222222223,0.12522222222222223,0.12522222222222223,0.12522222222222223,0.8583163956639567,0.8583163956639567,1.0,0.0,bitflip,0.648
response,True,7,0.2,0.777888888888889,0.777888888888889,0.777888888888889,0.22211111111111106,0.22211111111111106,0.22211111111111112,0.22211111111111112,0.7491353910632129,0.7491353910632129,1.0,0.0,bitflip,0.648
response,True,7,0.3,0.6876666666666668,0.6876666666666668,0.6876666666666668,0.3123333333333333,0.3123333333333333,0.3123333333333333,0.3123333333333333,0.6500283607487237,0.6500283607487237,1.0,0.0,bitflip,0.648
response,True,7,0.4,0.6153333333333334,0.6153333333333334,0.6153333333333334,0.38466666666666666,0.38466666666666666,0.38466666666666666,0.38466666666666666,0.5681662412554358,0.5681662412554358,1.0,0.0,bitflip,0.648
response,True,7,0.5,0.5481111111111111,0.5481111111111111,0.5481111111111111,0.45188888888888884,0.45188888888888884,0.45188888888888884,0.45188888888888884,0.49319538980273525,0.49319538980273525,1.0,0.0,bitflip,0.648
response,True,7,0.6,0.4971111111111111,0.4971111111111111,0.4971111111111111,0.5028888888888888,0.5028888888888888,0.5028888888888888,0.5028888888888888,0.4345063654124914,0.4345063654124914,1.0,0.0,bitflip,0.648
response,True,7,0.7,0.44766666666666666,0.44766666666666666,0.44766666666666666,0.5523333333333333,0.5523333333333333,0.5523333333333333,0.5523333333333333,0.382226082435243,0.382226082435243,1.0,0.0,bitflip,0.648
response,True,7,0.8,0.4057777777777778,0.4057777777777778,0.4057777777777778,0.5942222222222222,0.5942222222222222,0.5942222222222222,0.5942222222222222,0.33501331379592864,0.33501331379592864,1.0,0.0,bitflip,0.648
